Platform,Game Summary,Publisher,3D,Title,Series,Series Order,Rating,Genre,Subgenre,IGN Score,Release Date,Developers,Players,Country of Purchase,Input Devices,Media Type,Special Edition,Discs,Packaging,Preordered,Quantity,Estimated Value,Purchase Price,Purchase Date,Condition,Notes,Barcode,Item ID,Date Added, Collection/Wishlist
DS,,Majesco Entertainment,No,Dawn Of Heroes,,,E10+,"Role Playing Game, Strategy",,,12/31/1969,Wicked Studios,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$8.99 ,$8.99 ,2/29/2012,Complete In Case,???,96427016083,1044407,1/3/2019 20:39,Collection
DS,,Nintendo,No,Dawn of Discovery,,,E,Real Time Strategy,,,12/31/1969,Ubisoft,2,United States,Handheld Console,Cartridge,,1,Snap Case,No,1,,$5.97 ,1/23/2020,Used,"Complete in Case
Lukie Games",8888164494,1035863,2/15/2020 23:36,Collection
DS,"The console versions of de Blob 2 follow from where de Blob and de blob 2 DS version left off, when it is Prisma City’s general election. A mysterious priest called Papa Blanc, who is actually the villain from the first game, Comrade Black, in disguise, is doing his utmost to rig the outcome of the vote by cheating with an artificial metal arm in each voting booth that presses Blanc, allowing his cult of Inkies to wreak all manner of colour-related havoc on the metropolis. The INKT Corporation, as before, manages to drain all colour from the city and also turns its inhabitants, the Prismans, into generic drones. Once again, it is up to Blob and the members of the Colour Underground to restore the city to its vibrant former glory. Blob frees the lands one by one, as he did in the last game, fighting against many foes, including a massive monster created in a factory accident, as he approaches Comrade Black. Black, however, is shown to be more clever than was suggested in the previous game. At one point, he kidnaps the other members of the Color Underground. Once De Blob frees all of Prisma City, he confronts Comrade Black again, only to discover, as he flees to space once again, that Black had used Blob’s own journey against him, using color beacons that were mysteriously activated as Blob progressed to power an orbiting satellite to enslave the entire planet. As Blob gets closer and closer, Black taunts him and forces him to make a series of choices: continue on, or rescue a few Graydians that Black had placed in biodomes rigged to explode and risk running out of time. Once Blob finally reaches him, Black uses a high-power beam of color to grow gigantic and fight Blob. Once Blob defeats him, Black is sucked into space, and the world returns to normal.",THQ,,De Blob 2,,,E,Platform,,,12/31/1969,halfbrick Studios,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$9.74 ,$9.74 ,8/11/2011,Sealed In Case,???,7.85E+11,1054086,1/3/2019 15:07,Collection
DS,,Crave Entertainment,No,DeFenDin’ De Penguin,,,E,,,,,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$2.97 ,1/23/2020,Used,"Complete in Case
Lukie Games",6.50E+11,1716595,2/15/2020 23:17,Collection
Xbox 360,"The island of Banoi is a lush, tropical paradise in the South Pacific where its flagship Royal Palms Resort serves as the ultimate getaway for vacationers with money to burn. However, all good things must soon come to an end – and the picturesque resort falls into madness, carnage and chaos after a mysterious and contagious zombie outbreak claims its once peaceful atmosphere. Cut off from the rest of the world, only four individuals who strangely find themselves immune to zombification have the power to protect the remaining survivors from the horrors of the island, to discover what’s really going on and find a way to escape before their own fatal ends.",Deep Silver,No,Dead Island,,,M,"Action, First Person Shooter, Role Playing Game, Sandbox",,8,9/6/2011,Techland,4,United States,Controller Game Pad,DVD,Yes,1,Colored Snap Case,No,1,$59.99 ,$59.99 ,9/6/2011,,,8.96E+11,1158812,1/3/2019 15:06,Collection
Xbox 360,"Dead Rising’s story centers on Frank West, a photojournalist who ends up trapped in a shopping mall in the fictional town of Willamette, Colorado, that is infested with zombies. Frank must defend himself from zombie attacks, rescue survivors, contend with crazed psychopaths, and stay alive while still attempting to uncover the truth behind the incident. The player controls Frank as he explores the mall, using any available object as a weapon.",Capcom,No,Dead Rising,,,M,"Action, Horror",,8.3,8/8/2006,Capcom,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$5.00 ,$5.00 ,8/13/2011,,,13388330010,1184567,1/3/2019 15:06,Collection
Xbox 360,"o 72 Hours To Kill....Thousands Of Zombies....What Would Chuck Do?
o Chuck Greene is on a Mission to save his Infected Daughter, Clear his Name, and Escape Fortune City Alive.
o Smash your way Through Zombies in Online Co-op. 
o Build Awesome Combo Weapons from Almost Anything and Everything.",Capcom,No,Dead Rising 2,,,M,"Action, Adventure",,8,9/26/2010,Blue Castle Games,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,,,,,,13388330201,1021948,1/3/2019 15:06,Collection
Xbox 360,"Dead Rising 2: Off The Record, sees Wilamette survivor and hero of Dead Rising, photojournalist Frank West, take centre stage as players experience a very different interpretation of events in this, a reimagining of the Fortune City outbreak.
This alternate storyline means an all new Dead Rising 2 experience; with Frank facing new missions, new enemies, new combo-weapons with which to defeat them plus a brand new Fortune City attraction to explore. Complimenting the new narrative and action of Dead Rising 2: Off The Record are enhancements to elements such as the save system and the co-op experience to deliver more satisfying gameplay.",Capcom,No,Dead Rising 2: Off The Record,,,M,"Action, Fighting, Hack n’ Slash, Third Person Shooter, Horror",,7,10/14/2011,Capcom,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$0.00 ,$0.00 ,10/27/2013,,,13388330492,1179436,1/3/2019 15:07,Collection
Xbox 360,"Gamers step into a third-person sci-fi survival horror experience that promises to deliver the ultimate in psychological thrills and gruesome action. Set in the cold blackness of deep space, the atmosphere is soaked with a feeling of tension, dread and sheer terror. In Dead Space, players step into the role of engineer Isaac Clarke – an ordinary man on a seemingly routine mission to fix the communications systems aboard a deep space mining ship. It is not long before Isaac awakes to a living nightmare when he learns that the ship’s crew has been ravaged by a vicious alien infestation. He must fight through the dead silence and darkness of deep space to stay alive.",Electronic Arts,No,Dead Space,,,M,"Action, Adventure, Third Person Shooter, Horror",,8.7,10/14/2008,Visceral Games,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$59.99 ,$59.99 ,,,,14633155648,896197,1/3/2019 15:05,Collection
Xbox 360,"Engineer Isaac Clarke returns for another blood-curdling adventure in Dead Space 2, the sequel to the critically acclaimed horror adventure. After waking from a coma on a massive space city known as ”The Sprawl,” the lone survivor of a horrific alien infestation finds himself confronting a catastrophic new nightmare. Battling dementia, hunted by the government and haunted by visions of his dead girlfriend, Isaac will do whatever it takes to save himself and rid the city of the gruesome, relentless Necromorphs. Equipped with a new arsenal of tools to dismember the Necromorphs, Isaac will face the challenge head-on.
In Dead Space 2, Isaac brings the terror to space. Players will take on bigger, scarier and more epic battles that will keep them on the edge of their seats. Delivering a sensory overload of sound, visuals and action sequences, Dead Space 2 will bring the psychological thrills of deep space to a terrifying new level.",Electronic Arts,No,Dead Space 2,,,M,"Action, Adventure, Horror",,9,1/25/2011,Visceral Games,8,United States,Controller Game Pad,DVD,No,2,Colored Snap Case,No,1,$59.99 ,$59.99 ,,,,14633158892,1050557,1/3/2019 15:06,Collection
