,PC_ID,title,loose_price,cib_price,new_price,image_link
31,21194,All-Star Karate,4.82,7.05,16.07,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96FJpp7ycNIlr_CF4e80blXkWSzbtnQtk_SAyzkfUUNEorat6JIk1qJWMPpIp0tx6PLQzeOTP1s4z-VA-M9U4pbYkPYDiPtUtTs05SYGzjDEmVJ1WAWUCAqrwIwldlY2KCFOg2tMRs6FNOuWHhXEL37WIZPeA/60.jpg
32,13984,Alone in the Dark,5.52,7.94,9.04,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97dI1ZdRvAsJMU5PXxHprarGBzBuV__D2yPbP3oInAuDbMlD5jIdN42MGN-fF4p1vXF4oKHNBAUZNTrMnSTZOoUvkDkqzysKQy82WmmnqyT-kVpEK5H_xTKEdefSyVMdcBJQDajgNyKJMMgCHziLb-awTmEnw/60.jpg
33,32251,Alvin & Chipmunks: Chipwrecked,4.37,6.99,10.73,https://commondatastorage.googleapis.com/images.pricecharting.com/1a8abb57f1d5e6c3cf8061ccdbe6d79b610deefb80b1b7bf71b84dda761642e8/60.jpg
34,10873,Alvin And The Chipmunks The Game,2.70,4.97,7.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94C8wFRDf96oWD_fE8EDUjSSbXZH3I1t5gvVLDcG_Bnjw3C9ae-cJAyzbG_WlszgJ89HEaDIlXv7O_dwZxT8UBF31FDYISWlmNYq3QpSnn4aUOpkHPAte_5yD5bmVEvIsxfHx1voiGBlhOlqIF_g0B2-kXj3Q/60.jpg
35,20065,Alvin and The Chipmunks: The Squeakquel,5.90,6.29,9.84,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96vk6aRuCm4_1CJch9mVCvaNGEpCa_3spnDwwvxoWzfiKR6mwXdi3k9g8XiLn5ApQPIN0PGuMUWBg2XA8EfdBjKgfS82qe1QxiKOOH0-aulWUFe3nACElevrLAebSrGkLry8gQO8HvJyLsyNBzsu6qlppvpaA/60.jpg
36,32876,Amazing Spiderman,11.26,12.45,26.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96nWwi9HcFbRjcIe6J2APDP4RS7UfqjTWMsVnn01rq2mAX7x24-APg4Ck1qnDdbrSXkHDBOtMXxFrQfTihmODsmCrVJwUu-BR9bx306mq20tcAnXKUr_HxKPx9ehLBsJn0Dr3nDDBv7t9J9kAsQKz0iCsQFqw/60.jpg
37,21523,America's Next Top Model,7.00,7.40,16.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97p3ut53Kq_rLRDB9uoybJWKx8D3_fEraM7mvU-NB5HYeeMLUfQx5Bg9kSM9XigNhOJN1omVQC9mXcRbPTCGcQp7qLiPF8ziAfUeb4YuseTc0pVui_pKWKBLXeOoN1Owt_FzOAp7JmCFWrNZ1Xafy4MpjT4Kw/60.jpg
38,33394,American Mensa Academy,88.09,100.00,200.39,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96dcZ07wbJ8IdBDxPR4T0sMtOHxEa3UgcwzYdT_bAA16JFSAldXmgUqAXfWlx5tCJLAaOKoqDfw20IjZxyfHO2nTevk4qVh2i563OoCT3l-8F_0-jGgf8zEyhUlmPhZL4FdjthmilECrUqqV6xbEW7c9EQyJA/60.jpg
39,10874,AMF Bowling Pinbusters,6.94,7.89,14.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96v8VqCKg_x72LPyIL9PIMTQt1NYH_b5r4E5KnsgiA-o5dZQOeCQ7sJdkt8jsNW8s_uvcKwQ6DgiKf0UpgRXBJMI4bDKcwHFhyIr5Ra89XMyjBrxs3S5SvgjWg1THXils5E9XILAf8AJZNm2GZ-jO6KPROmGg/60.jpg
40,16032,AMF Bowling World Lanes,6.50,7.05,16.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97zrmMmdZfDNbR6Dtjpt1irXgPYLJ9S7g7sNynRJIdhqRZsBYceXQokF6noKlR1lg2qiwrDDxZ3zKiAARi-g7rTqhVELJhSX2n0Uate3hMLYrMcRcaE09KIbc5Zz4FUhf4_XKN8Mi5Ked8XX966cVgo53PsHQ/60.jpg
