,Platform,PC_ID,Merged_Title,loose_price,cib_price,new_price
108,Wii,6794.0,MARIOSTRIKERSCHARGED,12.99,15.74,46.47
109,Wii,0.0,MARTIANPANICCOMPLETE,,,
110,Wii,7385.0,METALSLUGANTHOLOGY,14.78,21.51,42.61
111,Wii,7386.0,METROIDPRIME3CORRUPTION,10.0,11.88,43.96
112,Wii,36281.0,METROIDPRIMETRILOGY,59.98,68.47,160.89
113,Wii,36281.0,METROIDPRIMETRILOGY,59.98,68.47,160.89
114,Wii,21969.0,METROIDOTHERM,11.19,11.25,24.09
115,Wii,19876.0,MONSTER4X4STUNTRACER,5.6,6.36,15.52
116,Wii,72756.0,MONSTER4X4WORLDCIRCUIT,3.15,4.45,13.98
117,Wii,21190.0,MONSTERHUNTERTRI,7.81,9.46,18.98
118,Wii,0.0,MONSTERTRUXARENASSPECIALEDITIONCOMPLETE,,,
119,Wii,11756.0,MONSTERTRUXOFFROAD,4.27,5.99,10.32
120,Wii,15956.0,MORTIMERBECKETTTHESECRETSOFSPOOKYMANOR,6.65,6.76,16.99
121,Wii,19877.0,MOUNTAINSPORTS,5.2,5.92,12.74
122,Wii,19591.0,MURAMASATHEDEMONBLADE,28.53,32.0,49.75
123,Wii,16107.0,MUSHROOMMENTHESPOREWARS,12.1,14.39,22.0
124,Wii,16207.0,MYTHMAKERSORBSOFDOOM,3.78,5.75,12.95
125,Wii,10882.0,MYTHMAKERSSUPERKARTGP,5.67,6.72,8.09
126,Wii,10359.0,NAMCOMUSEUMREMIX,4.5,4.99,12.99
127,Wii,10553.0,NEEDFORSPEEDPROSTREET,6.11,6.22,16.7
128,Wii,16147.0,NEOPETSPUZZLEADVENTURE,3.2,5.88,8.46
129,Wii,0.0,NERFNSTRIKE,,,
130,Wii,20014.0,NEWSUPERMARIOBROSWII,23.3,23.75,50.0
131,Wii,32828.0,NICKELODEONFIT,5.0,7.97,12.36
132,Wii,10927.0,NIGHTSJOURNEYOFDREAMS,8.1,9.99,20.33
133,Wii,7409.0,NINJABREADMAN,5.0,6.52,14.06
134,Wii,11867.0,NOMOREHEROES,8.99,14.4,39.31
