"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"DS","Rune Factory is spin-off of the Harvest Moon series, part of a re-invention of the franchise for its 10th anniversary. Described by producer Yoshifumi Hashimoto as Harvest Moon where you wield a sword, the game has being developed with the idea of creating a fantasy world in which the player exists, rather than the standard type of RPG where you play the role of a hero and work your way through a storyline. You are able to capture monsters, raise them on your farm, and add them to your adventuring party.","Marvelous Interactive* Natsume","","Rune Factory","","","E","Role Playing Game","","8.4","2007-08-14","Natsume","2","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","$8.00","2011-08-08","Used","Complete in Case","719593100041","899156","2019-01-03 18:44:45",Collection
"DS","Rune Factory 2 is set several years after the first game. The evil Sechs Empire has been defeated, and the Kingdom of Norad is once again at peace. Things may not stay that way for long, however, as dark premonitions foretell of dangers to come. It’s up to player to uncover the source of these premonitions and bring peace to the kingdom once more.
In a first for the Rune Factory series, the story of Rune Factory 2 is multigenerational. Players begin the game as Kyle, a strange man who comes to Alvarna Village. Eventually, players will take on the role of Kyle’s child, opening up a whole new adventure. It’s an innovative feature that allows players to follow the story of their family and the townsfolk over two generations! Over the course of the story, players will build and develop a farm, befriend townspeople, raise monsters, take on quests, and find a wife. Rune Factory 2 offers innovative Touch Screen controls, easy-to-use menus, and an all-new compelling storyline.","Natsume","","Rune Factory 2: A Fantasy Harvest Moon","","","E","Role Playing Game, Simulation","","8.4","2008-11-18","Marvelous Interactive","4","United States","Handheld Console","Cartridge","No","0","Snap Case","1","","","","Sealed In Case","???","719593100140","1092743","2019-01-03 19:58:52",Collection
"DS","The people of Sharance and their horned Univir neighbors are embroiled in a bitter conflict. An age-old hatred between humans and monsters divides them. Micah is an adventurer with an unusual secret: he’s half monster! He’ll have to unite the humans and the Univir in time to stop the growing evil force that threatens to destroy them both!
Rune Factory 3 introduces a number of exciting new features to the Rune Factory series: befriended villagers will now join you in battle and lend you their unique skills, players can transform the main character into his monster form to unleash a savage new arsenal of fighting moves, and the game’s new multiplayer mode lets up to three players work together to conquer unique dungeons packed with rare items andfearsome monsters.","Natsume","No","Rune Factory 3: A Fantasy Harvest Moon","","","E","Role Playing Game","","8.0","2010-11-09","Marvelous Entertainment","1","United States","Handheld Console","Cartridge","No","0","Snap Case","2","$16.19","$16.19","2011-08-06","New and Used","???
Sealed in Case
Complete in Case
2 Copies - One New and One Used","719593100300","1062421","2019-01-03 19:48:28",Collection
"3DS","Rune Factory 4 adds new romance options, the ability to select a male or female character at the game’s start, and has endless crafting, farming and cooking opportunities. The player becomes Selphia’s prince or princess and can manage the village, explore the countryside with townsfolk, or tame monsters in the wild to aid them in battle or help out in the fields.","XSEED Games","Yes","Rune Factory 4","","","E10+","Action, Adventure, Fantasy, Role Playing Game, Simulation","","8.0","2013-10-01","Neverland Co.","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$20.45","$20.45","2014-02-14","","","853466001568","1230365","2019-01-03 22:52:34",Collection
"Wii","Have 2, Wii Remote, Nunchuck","XSEED Games","No","Rune Factory: Frontier","","","","Role Playing Game, Simulation","","8.3","2009-03-17","Marvelous Entertainment USA Inc.","1","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$21.91","$21.91","2013-08-04","","","853466001155","996254","2019-01-03 15:07:00",Collection
"Wii","Games included

Art of Fighting, released in 1992
Baseball Stars 2, released in 1992
Burning Fight, released in 1991
Fatal Fury: King of Fighters, released in 1991
King of the Monsters, released in 1991
Last Resort, released in 1992
Magician Lord, released in 1990
Metal Slug, released in 1996
Neo Turf Masters, released in 1996
Samurai Shodown, released in 1993
Sengoku, released in 1991
Shock Troopers, released in 1997
Super Sidekicks 3: The Next Glory, released in 1995
The King of Fighters ’94, released in 1994
Top Hunter: Roddy & Cathy, released in 1994
World Heroes, released in 1992 (unlockable by obtaining 10 medals)","SNK","No","SNK Arcade Classics V.1","","","T","Action, Compilation","","","1969-12-31","SNK","2","United States","Controller Game Pad","DVD","No","1","Snap Case","1","$6.29","$6.29","2013-03-22","","","828862900081","962903","2019-01-03 15:06:43",Collection
"DS","","Capcom","No","SNK vs. Capcom Card Fighters DS","","","T","Card","","","2008-02-15","SNK Playmore","2","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$8.99","$8.99","2012-04-10","New and Used","???
Complete in Case - USA-1 Version
2 Copies - One New and One Used
Same SKUs","828862800015","1134430","2019-01-03 21:15:12",Collection
"Xbox 360","A prequel to Sacred, taking place 2,000 years before the events in the first game.  It has a new graphics engine, which is able to render in 3D but keeps the original game’s isometric perspective.","Cdv Software Entertainment","","Sacred 2: Fallen Angel","","","M","Role Playing Game","","7.5","2009-12-05","Ascaron","2","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$11.69","$11.69","2013-02-24","","","894388002097","931061","2019-01-03 15:06:39",Collection
"DS","","Conspiracy Entertainment","No","Safari Adventures Africa","","","E","","","","","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$8.50","2020-04-06","New","Sealed in Case
eBay","815315001242","1717377","2020-04-13 22:21:32",Collection
"DS","","Dreamcatcher & The Adventure Comp","No","Safecracker: The Ultimate Puzzle Challenge!","","","E","Puzzle, Strategy","","","1969-12-31","","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$10.99","2020-04-04","Complete In Case - Artwork Damaged","eBay","625904519917","1484621","2020-04-11 20:38:15",Collection
